id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Global_Sales
4421,Wasteland 2,XOne,2015.0,Role-Playing,Deep Silver,0.04,0.01,0.0,0.01,77.0,13.0,7.1,56.0,InXile Entertainment,M,0.060291091328723186
4424,Silent Hill: Downpour,X360,2012.0,Action,Konami Digital Entertainment,0.22,0.08,0.0,0.02,68.0,38.0,7.3,269.0,Konami,M,0.320261940328836
4429,Need for Speed: ProStreet,PC,2007.0,Racing,Electronic Arts,0.0,0.04,0.0,0.01,70.0,18.0,5.9,163.0,EA Games,E10+,0.05029922184598271
4434,Valhalla Knights: Eldar Saga,Wii,2009.0,Role-Playing,Rising Star Games,0.1,0.01,0.01,0.01,35.0,17.0,6.7,19.0,"K2, Kurogane",T,0.13028050575280314
4438,King Kong,2600,1981.0,Action,Tigervision,0.65,0.04,0.0,0.01,,,,,,,0.7001903193122251
4453,Konami Classics Series: Arcade Hits,DS,2007.0,Misc,Konami Digital Entertainment,0.01,0.0,0.02,0.0,76.0,29.0,tbd,,M2,E10+,0.03029690255173039
4469,Shin Megami Tensei x Fire Emblem,WiiU,2015.0,Role-Playing,Nintendo,0.12,0.05,0.06,0.02,,,,,,,0.25027406753586967
4473,Warhawk,PS,1995.0,Simulation,Sony Computer Entertainment,0.25,0.17,0.0,0.03,,,,,,,0.45025887323147573
4481,Shadow Man: 2econd Coming,PS2,2002.0,Adventure,Acclaim Entertainment,0.08,0.06,0.0,0.02,68.0,24.0,7.6,8.0,Acclaim,M,0.1602844437106008
4492,Deathrow: Underground Team Combat,XB,2002.0,Sports,Ubisoft,0.05,0.01,0.0,0.0,,,,,,,0.06029174320032163
4497,Paper Mario: Color Splash,WiiU,2016.0,Role-Playing,Nintendo,0.2,0.14,0.05,0.03,75.0,72.0,6.8,208.0,"Nintendo, Intelligent Systems",E,0.42026315635487055
4498,Forza Motorsport 6,XOne,2015.0,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,87.0,85.0,7.9,863.0,Turn 10,E,1.8001860215719634
4501,Professional Farmer 2016,PS4,2015.0,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,,,,,,,0.010300120318302986
4514,Cabela's Deer Hunt: 2004 Season,PS2,2003.0,Sports,Activision Value,0.37,0.29,0.0,0.1,,,9,40.0,Sand Grain Studios,T,0.7602281923734552
4518,MLB 11: The Show,PSP,2011.0,Sports,Sony Computer Entertainment,0.15,0.0,0.0,0.02,77.0,9.0,6,5.0,SCEA San Diego Studios,E,0.17026985809967798
4521,Halo 2 Multiplayer Map Pack,XB,2005.0,Shooter,Microsoft Game Studios,0.54,0.13,0.0,0.02,89.0,37.0,7.4,34.0,Bungie Software,M,0.6902107081452128
4523,7 Wonders II,DS,2009.0,Puzzle,Rondomedia,0.13,0.15,0.0,0.03,60.0,5.0,tbd,,MumboJumbo,E,0.310278025766048
4528,Tyco RC: Assault with a Battery,PS,1999.0,Racing,Syscom,0.06,0.04,0.0,0.01,,,,,,,0.11028916930440508
4540,Ys: Memories of Celceta,PSV,2012.0,Action,Nihon Falcom Corporation,0.1,0.01,0.1,0.04,82.0,56.0,8.8,237.0,Falcom,T,0.2502687265581372
4541,Trials Fusion,PC,2014.0,Racing,Ubisoft,0.0,0.03,0.0,0.0,80.0,12.0,6.8,97.0,RedLynx,E10+,0.030301072866885947
4545,Guitar Hero: Smash Hits,PS3,2009.0,Misc,Activision,0.2,0.11,0.0,0.05,73.0,34.0,7.2,9.0,Beenox,T,0.3602597381133188
4546,Forbidden Siren 2,PS2,2006.0,Action,Sony Computer Entertainment,0.0,0.0,0.08,0.0,,,,,,,0.08029537976927213
4548,Prison Break: The Conspiracy,PS3,2010.0,Action,Deep Silver,0.05,0.15,0.0,0.05,42.0,33.0,3.8,20.0,ZootFly,T,0.25028677456442877
4551,Canada Hunt,Wii,2010.0,Sports,Virtual Play Games,0.02,0.0,0.0,0.0,,,tbd,,Virtual Play Inc.,T,0.020296293196818964
4560,Gundam Breaker 3,PS4,2016.0,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,,,,,,,0.10029431370058728
4562,Women's Volleyball Championship,PS2,2007.0,Sports,Spike,0.0,0.0,0.03,0.0,32.0,7.0,4,4.0,Spike,E,0.030298044940984235
4566,X-Men: Destiny,PS3,2011.0,Action,Activision,0.14,0.07,0.0,0.03,50.0,33.0,4.8,37.0,Silicon Knights,T,0.24027254014811994
4572,Nicola Kanshuu: Model Oshare * Audition Platina,3DS,2012.0,Action,Alchemist,0.0,0.0,0.08,0.0,,,,,,,0.08029537976927213
4577,Disney's Lilo & Stitch,GBA,2002.0,Platform,Ubisoft,0.77,0.29,0.0,0.02,,,,,,,1.0801797937911621
4581,Mortal Kombat Trilogy,PS,1996.0,Fighting,GT Interactive,1.98,0.7,0.0,0.11,,,,,,,2.7899756491252115
4582,The Simpsons: Road Rage,XB,2001.0,Racing,Electronic Arts,0.78,0.26,0.0,0.01,61.0,17.0,8.3,6.0,Fox Interactive,T,1.0501790168398863
4585,Power Shovel,PS,2000.0,Action,JVC,0.03,0.02,0.0,0.0,,,,,,,0.05029557032180565
4586,Dynasty Warriors: Strikeforce,PS3,2009.0,Action,Tecmo Koei,0.11,0.07,0.07,0.03,64.0,27.0,7.3,15.0,Omega Force,T,0.2802738351785118
4595,Crash Nitro Kart,GC,2003.0,Racing,Vivendi Games,0.2,0.05,0.0,0.01,66.0,10.0,7.4,8.0,Vicarious Visions,E,0.2602661896483488
4602,Arctic Thunder,XB,2001.0,Racing,Midway Games,0.09,0.02,0.0,0.0,57.0,17.0,tbd,,Inland Productions,T,0.11028551778022802
4604,Wonder World Amusement Park,DS,2009.0,Misc,Majesco Entertainment,0.08,0.0,0.0,0.01,,,tbd,,Coyote Console,E,0.09028391336004662
4605,Planet 51,X360,2009.0,Action,Sega,0.07,0.03,0.0,0.01,53.0,13.0,tbd,,Pyro Studios,E,0.11028701760651732
4609,GRID,PC,,Racing,Codemasters,0.0,0.03,0.0,0.01,87.0,25.0,7.9,463.0,Codemasters,E,0.040298745571691226
4611,Fox Sports Golf '99,PS,1997.0,Sports,Gremlin Interactive Ltd,0.08,0.05,0.0,0.01,,,,,,,0.14028629473150403
4613,Duke Nukem Forever,PC,2011.0,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,54.0,48.0,5.7,1183.0,"Gearbox Software, 3D Realms",M,0.4102636193110655
4617,Pro Evolution Soccer 2013,PSP,2012.0,Sports,Konami Digital Entertainment,0.0,0.07,0.18,0.03,,,tbd,,Konami,E,0.2802864014603041
4619,Bomberman Hero,N64,1998.0,Platform,Nintendo,0.27,0.06,0.08,0.05,,,,,,,0.46024136450194814
4626,Harry Potter and the Prisoner of Azkaban,PC,2004.0,Action,Electronic Arts,0.0,0.03,0.0,0.0,67.0,19.0,7.2,50.0,KnowWonder,E,0.030301072866885947
4627,Broken Helix,PS,1997.0,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.0,,,,,,,0.05029557032180565
4639,Konami Classics Vol. 1,X360,2009.0,Misc,Konami Digital Entertainment,0.08,0.0,0.0,0.01,,,tbd,,Konami,T,0.09028391336004662
4643,Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,87.0,64.0,9,766.0,Square Enix,E10+,4.329845552004173
4644,Ukiyo no Roushi,PSV,2015.0,Action,Unknown,0.0,0.0,0.02,0.0,,,,,,,0.02029857797532666
4656,Famicom Mini: Star Soldier,GBA,2004.0,Shooter,Nintendo,0.0,0.0,0.08,0.0,,,,,,,0.08029537976927213
4658,The Chronicles of Riddick: Assault on Dark Athena,PS3,2009.0,Shooter,Vivendi Games,0.12,0.09,0.0,0.04,80.0,45.0,7.7,40.0,Starbreeze,M,0.2502745162487007
4659,Ridge Racer DS,DS,2004.0,Racing,Namco Bandai Games,0.14,0.0,0.0,0.01,63.0,35.0,6.7,7.0,Namco,E,0.150273860818469
4664,MySims Racing,DS,2009.0,Racing,Electronic Arts,0.25,0.29,0.0,0.07,67.0,11.0,7.3,4.0,EA Games,E,0.6102552793421946
4674,Wario Land II (GBC),GB,1998.0,Platform,Nintendo,0.0,0.0,0.38,0.0,,,,,,,0.38027938873899947
4679,How to Train Your Dragon 2,3DS,2014.0,Adventure,Little Orbit,0.04,0.19,0.0,0.02,,,tbd,,Torus Games,E10+,0.2502973369707751
4682,Bratz: Girlz Really Rock,PS2,2008.0,Action,THQ,0.11,0.09,0.0,0.03,,,8.4,7.0,Blitz Games,E,0.23027851896749169
4683,College Hoops 2K8,PS3,2007.0,Sports,Take-Two Interactive,0.13,0.0,0.0,0.01,82.0,18.0,5.2,6.0,Visual Concepts,E,0.14027553624206526
4684,Ratatouille: Food Frenzy,DS,2007.0,Puzzle,THQ,0.25,0.0,0.0,0.02,,,,,,,0.27025310386371526
4685,G1 Jockey 4 2007,PS2,2007.0,Sports,Tecmo Koei,0.0,0.0,0.01,0.0,,,,,,,0.010299111009669083
4689,Sonic Boom: Rise of Lyric,WiiU,2014.0,Action,Sega,0.19,0.09,0.0,0.03,32.0,28.0,3.6,587.0,Big Red Button Entertainment,E10+,0.3102651155787215
4700,Peggle: Dual Shot,DS,2009.0,Puzzle,PopCap Games,0.11,0.0,0.0,0.01,84.0,17.0,8.2,21.0,Q Entertainment,E,0.12027888708925781
4703,Need for Speed Underground,GBA,2003.0,Racing,Electronic Arts,0.21,0.08,0.0,0.01,77.0,9.0,8.2,25.0,Pocketeers,E,0.30026594304762694
4706,One Piece: Unlimited World Red,PS3,2014.0,Action,Namco Bandai Games,0.09,0.1,0.06,0.04,71.0,28.0,7.3,46.0,Ganbarion,T,0.29027682058772647
4715,The Fairly Odd Parents: Shadow Showdown,PS2,2004.0,Platform,THQ,0.17,0.13,0.0,0.04,,,,,,,0.3402680442278853
4718,Classic NES Series: Super Mario Bros.,GBA,2004.0,Platform,Nintendo,0.0,0.0,1.39,0.03,84.0,14.0,8.6,44.0,Nintendo,E,1.4202185703848307
4719,ESPN College Hoops 2K5,XB,2004.0,Sports,Sega,0.29,0.08,0.0,0.01,86.0,18.0,8.3,11.0,Visual Concepts,E,0.38025253965885675
4737,Petz Fashion: Dogz & Catz,DS,2009.0,Simulation,Ubisoft,0.1,0.0,0.0,0.01,,,,,,,0.11028056251285408
4740,Serious Sam HD: Gold Edition,X360,2011.0,Shooter,Mastertronic,0.0,0.02,0.0,0.0,,,,,,,0.020300596592594467
4742,Uta no * Prince-Sama: Sweet Serenade,PSP,2011.0,Adventure,Broccoli,0.0,0.0,0.01,0.0,,,,,,,0.010299111009669083
4746,Brave: A Warrior's Tale,X360,2009.0,Action,SouthPeak Games,0.05,0.01,0.0,0.0,42.0,17.0,5,4.0,Collision Studios,E10+,0.06029174320032163
4749,Avatar: The Game,DS,2009.0,Action,Ubisoft,0.18,0.18,0.0,0.04,,,,,,,0.40026875017574637
4751,XGRA: Extreme G Racing Association,XB,2003.0,Racing,Acclaim Entertainment,0.02,0.0,0.0,0.0,66.0,15.0,6.8,5.0,Acclaim Studios Cheltenham,T,0.020296293196818964
4752,Sengoku Musou 3 Empires,PS3,2011.0,Action,Tecmo Koei,0.0,0.0,0.14,0.0,,,,,,,0.1402921815632176
4757,Syphon Filter: Logan's Shadow,PS2,2010.0,Shooter,Sony Computer Entertainment,0.03,0.02,0.0,0.01,,,7.9,9.0,Sony Bend,T,0.06029324302661093
4767,Rogue Warrior,PS3,2009.0,Shooter,Bethesda Softworks,0.11,0.01,0.0,0.01,27.0,24.0,2.8,66.0,Rebellion,M,0.13027936336354928
4773,Cabela's Legendary Adventures,Wii,2008.0,Sports,Activision,0.16,0.0,0.0,0.01,,,tbd,,FUN Labs,T,0.17027050997127646
4782,NES Open Tournament Golf,NES,1991.0,Sports,Nintendo,0.41,0.1,0.47,0.02,,,,,,,1.0002060072149959
4786,TRON: Evolution,PSP,2010.0,Action,Disney Interactive Studios,0.1,0.02,0.0,0.02,,,tbd,,SuperVillain Studios,E10+,0.14027918776624232
4788,MX vs. ATV Reflex,PS3,2009.0,Racing,THQ,0.52,0.25,0.0,0.12,74.0,44.0,7.4,10.0,Rainbow Studios,E,0.8901965013319557
4789,MDK2 Armageddon,PS2,2001.0,Shooter,Virgin Interactive,0.08,0.07,0.0,0.02,80.0,19.0,8.3,11.0,BioWare,T,0.17028491998489229
4790,MLB Power Pros 2008,Wii,2008.0,Sports,Konami Digital Entertainment,0.11,0.0,0.01,0.01,79.0,16.0,8.7,21.0,Konami,E,0.1302783540549154
4793,Bleach DS 4th: Flame Bringer,DS,2009.0,Action,Sega,0.0,0.0,0.03,0.0,,,,,,,0.030298044940984235
4794,Soul Sacrifice,PSV,2013.0,Role-Playing,Sony Computer Entertainment,0.15,0.08,0.22,0.06,77.0,71.0,8.2,298.0,"SCE Japan Studio, comcept",M,0.5102526323576977
4795,The History Channel: Battle for the Pacific,X360,2007.0,Shooter,Activision,0.05,0.0,0.0,0.0,35.0,11.0,6.1,21.0,Cauldron Ltd.,T,0.05029126692603015
4796,Air Conflicts: Secret Wars,PC,2011.0,Simulation,bitComposer Games,0.0,0.02,0.0,0.01,65.0,5.0,6.4,24.0,Games Farm,T,0.030298269297399746
4798,Skylanders: SuperChargers,WiiU,2015.0,Action,Activision,0.25,0.19,0.0,0.04,87.0,13.0,5.6,65.0,Vicarious Visions,E10+,0.480257498484864
4805,Ragnarok Odyssey,PSV,2012.0,Role-Playing,GungHo,0.2,0.01,0.16,0.03,66.0,21.0,7.8,111.0,Game Arts,T,0.40025110141131465
4816,Battle Commander: Hachibushu Shura no Heihou,SNES,1991.0,Strategy,Banpresto,0.0,0.0,0.18,0.0,,,,,,,0.1802900494258479
4817,Aladdin Magic Racer,Wii,2011.0,Racing,Big Ben Interactive,0.01,0.0,0.0,0.0,,,,,"Bigben Interactive, Red Wagon Games",E,0.010297968620415234
4818,Myst III: Exile,PS2,2002.0,Adventure,Ubisoft,0.14,0.11,0.0,0.04,57.0,9.0,7,4.0,Presto Studios,E,0.2902721179500911
4831,Tim Burton's The Nightmare Before Christmas: The Pumpkin King,GBA,2005.0,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,71.0,5.0,5.5,6.0,TOSE,E10+,0.14028479490521473
4835,Whiteout,XB,2002.0,Racing,Konami Digital Entertainment,0.02,0.01,0.0,0.0,58.0,4.0,tbd,,Konami,T,0.030296769471110443
4838,Madden NFL 2002,PS2,2001.0,Sports,Electronic Arts,2.5,0.16,0.01,0.42,94.0,23.0,7.9,46.0,EA Sports,E,3.089790129101087
4842,Robotech: Battlecry,PS2,2002.0,Shooter,TDK Mediactive,0.3,0.23,0.0,0.08,72.0,20.0,8.5,8.0,Vicious Cycle,T,0.6102417172832697
4843,Power Gig: Rise of the SixString,X360,2010.0,Misc,Unknown,0.11,0.0,0.0,0.01,36.0,20.0,2.1,17.0,Seven45 Studios,T,0.12027888708925781
4844,Divinity II: The Dragon Knight Saga,X360,2010.0,Role-Playing,Focus Home Interactive,0.11,0.02,0.0,0.01,72.0,13.0,7.8,50.0,Larian Studios,M,0.14027983963784077
4853,Capcom's Soccer Shootout,SNES,1993.0,Sports,Nintendo,0.0,0.0,0.8,0.0,,,,,,,0.8002570012966177
4857,Gummy Bears Mini Golf,Wii,2010.0,Sports,Unknown,0.04,0.0,0.0,0.0,,,,,,,0.04029294234962642
4863,Spec Ops: The Line,X360,2012.0,Shooter,Take-Two Interactive,0.21,0.17,0.0,0.04,76.0,59.0,8.2,319.0,Yager,M,0.42026324763066614
4864,Final Fantasy VI Advance,GBA,2006.0,Role-Playing,Nintendo,0.0,0.0,0.28,0.01,92.0,25.0,8.4,190.0,TOSE,E10+,0.290282391787229
4869,Jet X20,PS2,,Racing,Unknown,0.11,0.09,0.0,0.03,,,,,,,0.23027851896749169
4873,Red Orchestra 2: Heroes of Stalingrad,PC,2011.0,Shooter,Tripwire Interactive,0.04,0.07,0.0,0.02,76.0,49.0,7.3,729.0,Tripwire Interactive,M,0.13029162167927738
4874,Off-World Interceptor Extreme,PS,1995.0,Racing,Crystal Dynamics,0.09,0.06,0.0,0.01,,,,,,,0.16028509558219922
4878,MX 2002 Featuring Ricky Carmichael,GBA,2001.0,Racing,THQ,0.11,0.04,0.0,0.0,,,,,,,0.15028311948161846
4884,Yu-Gi-Oh! 5D's: Duel Transer,Wii,2010.0,Strategy,Konami Digital Entertainment,0.11,0.02,0.02,0.01,,,,,,,0.16027877356915593
4887,Disney Planes Fire & Rescue,3DS,2014.0,Action,Disney Interactive Studios,0.01,0.08,0.0,0.01,,,,,,,0.10029945151955237
4905,Family Feud: 2012 Edition,Wii,2011.0,Misc,Ubisoft,0.17,0.0,0.0,0.01,,,tbd,,"Ubisoft, Ludia Inc.",E10+,0.1802688345476802
4906,Half-Minute Hero,PSP,2009.0,Role-Playing,Rising Star Games,0.08,0.01,0.07,0.01,84.0,41.0,7.8,38.0,Opus,E10+,0.17028065839394116
4910,Fallout Trilogy,PC,2004.0,Role-Playing,Ubisoft,0.0,0.02,0.0,0.0,,,8.9,31.0,Various,M,0.020300596592594467
4911,1 vs. 100,DS,2008.0,Misc,DSI Games,0.08,0.0,0.0,0.01,38.0,5.0,3.2,5.0,ECI,E,0.09028391336004662
4913,Rayman Raving Rabbids,PC,2006.0,Misc,Ubisoft,0.0,0.01,0.0,0.0,58.0,6.0,7.6,31.0,Ubisoft Bulgaria,E,0.010300120318302986
4914,Turok: Evolution,GC,2002.0,Shooter,Acclaim Entertainment,0.3,0.08,0.0,0.01,70.0,19.0,7,21.0,Acclaim,M,0.39025086423526045
4917,Skylanders: SuperChargers,3DS,2015.0,Action,Activision,0.05,0.06,0.0,0.01,,,tbd,,Vicarious Visions,E10+,0.12029179727658432
4928,MotoGP '06,X360,2006.0,Racing,THQ,0.11,0.01,0.0,0.01,80.0,50.0,7.7,13.0,"Climax Group, Climax Studios",E,0.13027936336354928
4933,LEGO Ninjago: Shadow of Ronin,3DS,2015.0,Action,Warner Bros. Interactive Entertainment,0.05,0.11,0.04,0.01,,,tbd,,TT Fusion,E10+,0.21029204651067204
4934,Deadly Arts,N64,1998.0,Fighting,Konami Digital Entertainment,0.03,0.01,0.0,0.0,,,,,,,0.04029509404751417
4936,SimCity Societies,PC,2007.0,Simulation,Electronic Arts,0.0,0.02,0.0,0.0,63.0,27.0,4.3,95.0,Tilted Mill,E10+,0.020300596592594467
4947,TRON: Evolution,X360,2010.0,Action,Disney Interactive Studios,0.24,0.05,0.0,0.02,58.0,51.0,6,41.0,Propaganda Games,T,0.31025716065876896
4960,The King of Fighters: Maximum Impact - Maniax,XB,,Fighting,Unknown,0.02,0.01,0.0,0.0,,,,,,,0.030296769471110443
4964,PQ2: Practical Intelligence Quotient,PSP,2006.0,Puzzle,D3Publisher,0.04,0.0,0.0,0.0,74.0,19.0,7.8,6.0,Now Production,E,0.04029294234962642
4967,World Stadium 2,PS,1998.0,Sports,Namco Bandai Games,0.0,0.0,0.42,0.03,,,,,,,0.4502702747160456
4972,FIFA Soccer 10,Wii,2009.0,Sports,Electronic Arts,0.23,0.64,0.0,0.11,75.0,21.0,6.2,17.0,EA Sports,E,0.9802659906088101
4976,Hakuoki Zuisouroku Omokage Hana,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.03,0.0,,,,,,,0.030298044940984235
4979,Mega Man X5,PS,2000.0,Platform,Capcom,0.3,0.21,0.2,0.05,76.0,10.0,8.9,55.0,Capcom,E,0.7602370859334224
4985,Marvel Super Hero Squad: Comic Combat,X360,2011.0,Action,THQ,0.13,0.04,0.0,0.01,,,tbd,,THQ,E10+,0.18027744133923118
4988,Tokushu Houdoubu,PSV,2012.0,Adventure,Nippon Ichi Software,0.0,0.0,0.03,0.0,,,,,,,0.030298044940984235
4996,Scene It? Lights Camera Action,X360,2007.0,Misc,Microsoft Game Studios,0.43,0.01,0.0,0.04,73.0,41.0,8.1,21.0,"Screenlife Games, WXP",T,0.4802187679228844
4997,World Snooker Championship 2007,PS3,2007.0,Sports,Sega,0.0,0.1,0.0,0.0,,,,,,,0.10030440678692631
5000,Marvel vs. Capcom: Clash of Super Heroes,DC,1999.0,Fighting,Capcom,0.0,0.0,0.1,0.0,,,,,,,0.10029431370058728
5003,Star Wars: The Force Unleashed II,DS,2010.0,Action,LucasArts,0.17,0.03,0.0,0.02,43.0,5.0,4,5.0,LucasArts,T,0.2202679360753599
5004,Skylanders: SuperChargers,PS3,2015.0,Action,Activision,0.16,0.15,0.0,0.06,,,4.2,6.0,Vicarious Visions,E10+,0.37026601760967504
5019,Castlevania: Curse of Darkness,PS2,2005.0,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,70.0,30.0,7.5,46.0,Konami,M,0.4202618526116737
5025,The Idolmaster: Gravure For You! Vol. 3,PS3,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.08,0.0,,,,,,,0.08029537976927213
5026,Final Fantasy Tactics Advance,GBA,2003.0,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,87.0,44.0,7.8,212.0,Square Enix,E,2.1301208049254527
5033,SBK: Snowboard Kids,DS,2005.0,Sports,Rising Star Games,0.02,0.0,0.0,0.0,63.0,14.0,6.5,4.0,Racjin,E,0.020296293196818964
5040,Puzzler Brain Games,Wii,2012.0,Puzzle,Namco Bandai Games,0.0,0.0,0.66,0.0,,,,,,,0.6602644637774117
5045,FabStyle,DS,2011.0,Strategy,Tecmo Koei,0.0,0.0,0.08,0.0,,,,,,,0.08029537976927213
5048,Superman Returns,DS,2006.0,Action,Electronic Arts,0.07,0.0,0.0,0.01,33.0,8.0,4.9,13.0,EA Tiburon,E,0.08028558878364289
5052,Yoostar2,X360,2011.0,Misc,Unknown,0.11,0.09,0.0,0.02,,,,,,,0.2202808462626864
5055,NBA 2K11,PC,2010.0,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,82.0,6.0,8.6,37.0,Visual Concepts,E,0.1902671591240839
5056,Mad Dog McCree: Gunslinger Pack,Wii,2009.0,Shooter,Majesco Entertainment,0.07,0.0,0.0,0.01,31.0,6.0,5,11.0,Digital Leisure Inc.,T,0.08028558878364289
5059,Company of Heroes,PC,2006.0,Strategy,THQ,0.0,0.04,0.0,0.01,93.0,55.0,8.8,1128.0,Relic,M,0.05029922184598271
5072,BlowOut,XB,2003.0,Shooter,Zoo Digital Publishing,0.04,0.01,0.0,0.0,55.0,11.0,tbd,,Terminal Reality,T,0.0502934186239179
5073,Imagine: Fashion Party,Wii,2009.0,Simulation,Ubisoft,0.24,0.0,0.0,0.02,,,tbd,,"Lexis Numerique, Virtual Toys",E,0.26025477928731156
5079,NASCAR Thunder 2003,PS2,,Racing,Unknown,0.6,0.46,0.0,0.16,84.0,16.0,8.7,17.0,EA Sports,E,1.220183790522528
5089,Ben 10: Alien Force,DS,2008.0,Action,Koch Media,0.65,0.22,0.0,0.09,,,2.8,4.0,Monkey Bar Games,E,0.960180273887914
5099,Yoru no Nai Kuni,PS4,2015.0,Role-Playing,Tecmo Koei,0.0,0.0,0.08,0.0,,,,,,,0.08029537976927213
5100,Cabela's Dangerous Hunts 2009,PS2,2008.0,Sports,Activision Value,0.09,0.07,0.0,0.02,,,9.2,5.0,FUN Labs,T,0.18028324456129602
5101,ESPN International Winter Sports 2002,PS2,2002.0,Sports,Konami Digital Entertainment,0.03,0.02,0.0,0.01,62.0,13.0,tbd,,Konami,E,0.06029324302661093
5103,Castlevania: Lords of Shadow 2,PS3,2014.0,Action,Konami Digital Entertainment,0.03,0.12,0.02,0.03,63.0,55.0,7.8,528.0,Mercury Steam,M,0.20029228511045144
5114,Aliens: Colonial Marines,PS3,2013.0,Shooter,Sega,0.2,0.29,0.0,0.11,43.0,25.0,3.6,295.0,Gearbox Software,M,0.6002543472793971
5116,Hyperdimension Neptunia,PS3,2010.0,Role-Playing,Tecmo Koei,0.22,0.09,0.07,0.04,45.0,31.0,7,148.0,"Idea Factory, Compile Heart",T,0.420254030772341
5123,Freddi Fish: ABC under the sea,DS,2008.0,Misc,Atari,0.12,0.0,0.0,0.01,,,,,,,0.13027721166566153
5127,Final Fantasy XI: Wings of the Goddess,PS2,2007.0,Role-Playing,Square Enix,0.35,0.27,0.09,0.09,,,tbd,,Square Enix,T,0.8002281206581777
5135,NieR,X360,2010.0,Role-Playing,Square Enix,0.13,0.1,0.04,0.02,67.0,60.0,8.3,126.0,Cavia Inc.,M,0.29027583955241565
5145,D.Gray-man: Kami no Shitotachi,DS,2007.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.05,0.0,,,,,,,0.05029697887229939
5147,Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,85.0,45.0,6.6,400.0,SquareSoft,T,5.279877366072446
5148,Rush,PSP,2006.0,Racing,Midway Games,0.11,0.0,0.0,0.01,55.0,12.0,tbd,,Midway Studios - Newcastle,T,0.12027888708925781
5151,NCAA Basketball Final Four 97,PS,1997.0,Sports,Mindscape,0.08,0.05,0.0,0.01,,,,,,,0.14028629473150403
5155,Final Approach 2: 1st Priority,PS2,2008.0,Adventure,Princess Soft,0.0,0.0,0.02,0.0,,,,,,,0.02029857797532666
5157,Diner Dash: Flo on the Go,DS,2009.0,Puzzle,Zoo Games,0.13,0.0,0.0,0.01,,,tbd,,Zoo Games,E,0.14027553624206526
5158,NBA Live 10,PS3,2009.0,Sports,Electronic Arts,0.46,0.02,0.01,0.05,81.0,32.0,7.5,25.0,EA Canada,E,0.54021135759685
5162,Zumba Fitness: World Party,XOne,2013.0,Misc,Majesco Entertainment,0.17,0.05,0.0,0.02,73.0,5.0,6.2,40.0,Zoe Mode,E,0.24026888862394288
5167,Gravitar,2600,1982.0,Action,Atari,0.35,0.02,0.0,0.0,,,,,,,0.37024195676672494
5170,Shiratsuyu no Kai,PSP,2013.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,,,,,,,0.02029857797532666
5175,Storybook Workshop,Wii,2009.0,Misc,Konami Digital Entertainment,0.06,0.0,0.0,0.01,,,tbd,,Konami,E,0.07028726420723916
5176,Donkey Kong 64,N64,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,,,,,,,5.269707289140987
5183,Blast Lacrosse,PS,2001.0,Sports,Acclaim Entertainment,0.03,0.02,0.0,0.0,,,,,,,0.05029557032180565
5198,Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,83.0,83.0,7.3,2483.0,Square Enix,T,5.329847380050566
5200,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,96.0,80.0,8.9,968.0,Nintendo,E,4.60983349016983
5204,Grand Theft Auto: Chinatown Wars,DS,2009.0,Action,Take-Two Interactive,0.58,0.56,0.05,0.14,93.0,85.0,8.3,280.0,Rockstar Leeds,M,1.3301938935313127
5206,Legends of Wrestling,PS2,2001.0,Fighting,Acclaim Entertainment,0.37,0.29,0.0,0.1,,,,,,,0.7602281923734552
5210,Point Blank DS (US sales),DS,2006.0,Shooter,Atari,0.05,0.0,0.0,0.0,,,,,,,0.05029126692603015
5215,Game of Thrones (Telltale),X360,2015.0,Adventure,Telltale Games,0.02,0.0,0.0,0.0,,,,,,,0.020296293196818964
5222,Dino Dini's Kick Off Revival,PS4,2016.0,Sports,Avanquest,0.0,0.02,0.0,0.0,31.0,22.0,4.5,66.0,"The Digital Lounge, Dino Dini",,0.020300596592594467
5226,Space Invaders,N64,1999.0,Shooter,Activision,0.13,0.03,0.0,0.0,,,,,,,0.1602792923601344
5228,Famicom Mini: Mappy,GBA,2004.0,Platform,Nintendo,0.0,0.0,0.09,0.0,,,,,,,0.0902948467349297
